content_id,client_id,action_rank,predicted_decline_probability,action_label,reason_code,impressions_90d,content_age_days,avg_position,days_since_last_update,content_type,main_intent
content_45f96356f84e,client_624b60c58c,1,0.7954,refresh_now,model_flagged,126,104,7.3,8,feedly article,
content_123b5d750cbc,client_4ec9599fc2,2,0.7921,refresh_now,model_flagged,922,91,6.1,8,feedly article,
content_0cbf5c93e96e,client_624b60c58c,3,0.7877,refresh_now,model_flagged,320,98,8.9,20,feedly article,
content_ff8019ba021d,client_3fdba35f04,4,0.7847,refresh_now,model_flagged,894,155,33.7,104,keyword article,informational
content_20c5d6a1c7b1,client_624b60c58c,5,0.7818,refresh_now,model_flagged,201,91,6.2,8,feedly article,
content_7b2b7acfcc4a,client_4ec9599fc2,6,0.7786,refresh_now,model_flagged,267,118,9.2,8,feedly article,
content_1e446b05f1c5,client_3fdba35f04,7,0.7776,refresh_now,model_flagged,685,165,34.0,104,keyword article,informational
content_b23fa9e12c1d,client_6208ef0f77,8,0.7762,refresh_now,model_flagged,1133,229,7.7,104,keyword article,
content_65bf969d1247,client_3fdba35f04,9,0.7755,refresh_now,model_flagged,1092,139,12.0,104,keyword article,informational
content_9b6df29f7889,client_3fdba35f04,10,0.7754,refresh_now,model_flagged,1622,139,3.1,104,keyword article,commercial
content_b005f46f2e4c,client_3fdba35f04,11,0.7752,refresh_now,model_flagged,673,165,2.7,104,keyword article,informational
content_fac9e8c13f4c,client_3fdba35f04,12,0.7724,refresh_now,model_flagged,858,165,17.4,104,keyword article,informational
content_69d4df8e4364,client_3fdba35f04,13,0.7722,refresh_now,model_flagged,2836,165,35.7,104,keyword article,informational
content_03475a5923fe,client_3fdba35f04,14,0.7718,refresh_now,model_flagged,2419,139,6.2,104,keyword article,commercial
content_aa6cb9d42da5,client_6208ef0f77,15,0.7716,refresh_now,model_flagged,1875,229,23.7,104,keyword article,
content_1023abe9e4dd,client_624b60c58c,16,0.7711,refresh_now,model_flagged,137,95,4.6,8,feedly article,
content_f3ac2b55033f,client_3fdba35f04,17,0.7708,refresh_now,model_flagged,578,165,10.4,104,keyword article,transactional
content_d8b8f3280ec2,client_7f2253d7e2,18,0.7707,refresh_now,model_flagged,619,169,22.8,20,keyword article,
content_b5d321cbefe8,client_7f2253d7e2,19,0.7706,refresh_now,model_flagged,1422,169,31.9,20,keyword article,
content_816431f05a3b,client_3fdba35f04,20,0.77,refresh_now,model_flagged,1922,165,33.4,104,keyword article,informational
content_bcc6c330c8c5,client_624b60c58c,21,0.7697,refresh_now,model_flagged,1821,91,12.9,20,feedly article,
content_b01e11168073,client_3fdba35f04,22,0.7695,refresh_now,model_flagged,2772,165,37.7,104,keyword article,transactional
content_996deba6cd11,client_7f2253d7e2,23,0.7692,refresh_now,model_flagged,249,169,15.7,20,keyword article,
content_75fb1c72a2c3,client_7f2253d7e2,24,0.7692,refresh_now,model_flagged,785,169,19.6,20,keyword article,
content_dbf3647b968d,client_7f2253d7e2,25,0.7691,refresh_now,model_flagged,475,172,15.1,20,keyword article,
content_eb0ce218868b,client_3fdba35f04,26,0.7688,refresh_now,model_flagged,3495,284,27.0,104,keyword article,transactional
content_a35e52961bb2,client_3fdba35f04,27,0.7687,refresh_now,model_flagged,256,223,29.1,104,keyword article,commercial
content_deed6811cf16,client_3fdba35f04,28,0.7686,refresh_now,model_flagged,863,165,13.8,104,keyword article,informational
content_4aafa33e6c49,client_7f2253d7e2,29,0.7686,refresh_now,model_flagged,646,172,16.6,20,keyword article,
content_04d7435934f0,client_3fdba35f04,30,0.7685,refresh_now,model_flagged,515,165,21.1,104,keyword article,informational
content_1c3154cc7576,client_3fdba35f04,31,0.7683,refresh_now,model_flagged,306,284,25.3,104,keyword article,informational
content_153025352cee,client_7f2253d7e2,32,0.768,refresh_now,model_flagged,291,172,16.6,20,keyword article,
